O [99, 98]
E [6, 47]
E [6, 46]
E [6, 45]
E [6, 44]
E [6, 43]
E [6, 42]
E [6, 41]
E [6, 40]
E [6, 39]
E [6, 38]
E [6, 37]
E [6, 36]
E [6, 35]
E [6, 34]
E [6, 33]
E [6, 32]
E [6, 31]
E [6, 30]
E [6, 29]
E [6, 28]
E [6, 27]
E [6, 26]
E [6, 25]
E [6, 24]
E [6, 23]
E [6, 22]
E [6, 21]
E [6, 20]
E [6, 19]
E [6, 18]
E [6, 17]
E [6, 16]
E [6, 15]
E [6, 14]
E [6, 13]
E [6, 12]
E [6, 11]
E [6, 10]
E [6, 9]
E [6, 8]
E [6, 7]
E [6, 6]
E [6, 5]
E [6, 4]
E [6, 3]
E [6, 2]
B [7, 2]
D [7, 3]
D [7, 4]
D [7, 5]
D [7, 6]
D [7, 7]
D [7, 8]
D [7, 9]
D [7, 10]
D [7, 11]
D [7, 12]
D [7, 13]
D [7, 14]
D [7, 15]
D [7, 16]
D [7, 17]
D [7, 18]
D [7, 19]
D [7, 20]
D [7, 21]
D [7, 22]
D [7, 23]
D [7, 24]
D [7, 25]
D [7, 26]
D [7, 27]
D [7, 28]
D [7, 29]
D [7, 30]
D [7, 31]
D [7, 32]
D [7, 33]
D [7, 34]
D [7, 35]
D [7, 36]
D [7, 37]
D [7, 38]
D [7, 39]
D [7, 40]
D [7, 41]
D [7, 42]
D [7, 43]
D [7, 44]
D [7, 45]
D [7, 46]
D [7, 47]
D [7, 48]
D [7, 49]
D [7, 50]
D [7, 51]
D [7, 52]
D [7, 53]
D [7, 54]
D [7, 55]
D [7, 56]
D [7, 57]
D [7, 58]
D [7, 59]
D [7, 60]
D [7, 61]
D [7, 62]
D [7, 63]
D [7, 64]
D [7, 65]
D [7, 66]
D [7, 67]
D [7, 68]
D [7, 69]
D [7, 70]
D [7, 71]
D [7, 72]
D [7, 73]
D [7, 74]
D [7, 75]
D [7, 76]
D [7, 77]
D [7, 78]
D [7, 79]
D [7, 80]
D [7, 81]
D [7, 82]
D [7, 83]
D [7, 84]
D [7, 85]
D [7, 86]
D [7, 87]
D [7, 88]
D [7, 89]
D [7, 90]
D [7, 91]
D [7, 92]
D [7, 93]
D [7, 94]
D [7, 95]
D [7, 96]
D [7, 97]
B [8, 97]
E [8, 96]
E [8, 95]
E [8, 94]
E [8, 93]
E [8, 92]
E [8, 91]
E [8, 90]
E [8, 89]
E [8, 88]
E [8, 87]
E [8, 86]
E [8, 85]
E [8, 84]
E [8, 83]
E [8, 82]
E [8, 81]
E [8, 80]
E [8, 79]
E [8, 78]
E [8, 77]
E [8, 76]
E [8, 75]
E [8, 74]
E [8, 73]
E [8, 72]
E [8, 71]
E [8, 70]
E [8, 69]
E [8, 68]
E [8, 67]
E [8, 66]
E [8, 65]
E [8, 64]
E [8, 63]
E [8, 62]
E [8, 61]
E [8, 60]
E [8, 59]
E [8, 58]
E [8, 57]
E [8, 56]
E [8, 55]
E [8, 54]
E [8, 53]
E [8, 52]
E [8, 51]
E [8, 50]
E [8, 49]
E [8, 48]
E [8, 47]
E [8, 46]
E [8, 45]
E [8, 44]
E [8, 43]
E [8, 42]
E [8, 41]
E [8, 40]
E [8, 39]
E [8, 38]
E [8, 37]
E [8, 36]
E [8, 35]
E [8, 34]
E [8, 33]
E [8, 32]
E [8, 31]
E [8, 30]
E [8, 29]
E [8, 28]
E [8, 27]
E [8, 26]
E [8, 25]
E [8, 24]
E [8, 23]
E [8, 22]
E [8, 21]
E [8, 20]
E [8, 19]
E [8, 18]
E [8, 17]
E [8, 16]
E [8, 15]
E [8, 14]
E [8, 13]
E [8, 12]
E [8, 11]
E [8, 10]
E [8, 9]
E [8, 8]
E [8, 7]
E [8, 6]
E [8, 5]
E [8, 4]
E [8, 3]
E [8, 2]
B [9, 2]
D [9, 3]
D [9, 4]
D [9, 5]
D [9, 6]
D [9, 7]
D [9, 8]
D [9, 9]
D [9, 10]
D [9, 11]
D [9, 12]
D [9, 13]
D [9, 14]
D [9, 15]
D [9, 16]
D [9, 17]
D [9, 18]
D [9, 19]
D [9, 20]
D [9, 21]
D [9, 22]
D [9, 23]
D [9, 24]
D [9, 25]
D [9, 26]
D [9, 27]
D [9, 28]
D [9, 29]
D [9, 30]
D [9, 31]
D [9, 32]
D [9, 33]
D [9, 34]
D [9, 35]
D [9, 36]
D [9, 37]
D [9, 38]
D [9, 39]
D [9, 40]
D [9, 41]
D [9, 42]
D [9, 43]
D [9, 44]
D [9, 45]
D [9, 46]
D [9, 47]
D [9, 48]
D [9, 49]
D [9, 50]
D [9, 51]
D [9, 52]
D [9, 53]
D [9, 54]
D [9, 55]
D [9, 56]
D [9, 57]
D [9, 58]
D [9, 59]
D [9, 60]
D [9, 61]
D [9, 62]
D [9, 63]
D [9, 64]
D [9, 65]
D [9, 66]
D [9, 67]
D [9, 68]
D [9, 69]
D [9, 70]
D [9, 71]
D [9, 72]
D [9, 73]
D [9, 74]
D [9, 75]
D [9, 76]
D [9, 77]
D [9, 78]
D [9, 79]
D [9, 80]
D [9, 81]
D [9, 82]
D [9, 83]
D [9, 84]
D [9, 85]
D [9, 86]
D [9, 87]
D [9, 88]
D [9, 89]
D [9, 90]
D [9, 91]
D [9, 92]
D [9, 93]
D [9, 94]
D [9, 95]
D [9, 96]
D [9, 97]
B [10, 97]
E [10, 96]
E [10, 95]
E [10, 94]
E [10, 93]
E [10, 92]
E [10, 91]
E [10, 90]
E [10, 89]
E [10, 88]
E [10, 87]
E [10, 86]
E [10, 85]
E [10, 84]
E [10, 83]
E [10, 82]
E [10, 81]
E [10, 80]
E [10, 79]
E [10, 78]
E [10, 77]
E [10, 76]
E [10, 75]
E [10, 74]
E [10, 73]
E [10, 72]
E [10, 71]
E [10, 70]
E [10, 69]
E [10, 68]
E [10, 67]
E [10, 66]
E [10, 65]
E [10, 64]
E [10, 63]
E [10, 62]
E [10, 61]
E [10, 60]
E [10, 59]
E [10, 58]
E [10, 57]
E [10, 56]
E [10, 55]
E [10, 54]
E [10, 53]
E [10, 52]
E [10, 51]
E [10, 50]
E [10, 49]
E [10, 48]
E [10, 47]
E [10, 46]
E [10, 45]
E [10, 44]
E [10, 43]
E [10, 42]
E [10, 41]
E [10, 40]
E [10, 39]
E [10, 38]
E [10, 37]
E [10, 36]
E [10, 35]
E [10, 34]
E [10, 33]
E [10, 32]
E [10, 31]
E [10, 30]
E [10, 29]
E [10, 28]
E [10, 27]
E [10, 26]
E [10, 25]
E [10, 24]
E [10, 23]
E [10, 22]
E [10, 21]
E [10, 20]
E [10, 19]
E [10, 18]
E [10, 17]
E [10, 16]
E [10, 15]
E [10, 14]
E [10, 13]
E [10, 12]
E [10, 11]
E [10, 10]
E [10, 9]
E [10, 8]
E [10, 7]
E [10, 6]
E [10, 5]
E [10, 4]
E [10, 3]
E [10, 2]
B [11, 2]
D [11, 3]
D [11, 4]
D [11, 5]
D [11, 6]
D [11, 7]
D [11, 8]
D [11, 9]
D [11, 10]
D [11, 11]
D [11, 12]
D [11, 13]
D [11, 14]
D [11, 15]
D [11, 16]
D [11, 17]
D [11, 18]
D [11, 19]
D [11, 20]
D [11, 21]
D [11, 22]
D [11, 23]
D [11, 24]
D [11, 25]
D [11, 26]
D [11, 27]
D [11, 28]
D [11, 29]
D [11, 30]
D [11, 31]
D [11, 32]
D [11, 33]
D [11, 34]
D [11, 35]
D [11, 36]
D [11, 37]
D [11, 38]
D [11, 39]
D [11, 40]
D [11, 41]
D [11, 42]
D [11, 43]
D [11, 44]
D [11, 45]
D [11, 46]
D [11, 47]
D [11, 48]
D [11, 49]
D [11, 50]
D [11, 51]
D [11, 52]
D [11, 53]
D [11, 54]
D [11, 55]
D [11, 56]
D [11, 57]
D [11, 58]
D [11, 59]
D [11, 60]
D [11, 61]
D [11, 62]
D [11, 63]
D [11, 64]
D [11, 65]
D [11, 66]
D [11, 67]
D [11, 68]
D [11, 69]
D [11, 70]
D [11, 71]
D [11, 72]
D [11, 73]
D [11, 74]
D [11, 75]
D [11, 76]
D [11, 77]
D [11, 78]
D [11, 79]
D [11, 80]
D [11, 81]
D [11, 82]
D [11, 83]
D [11, 84]
D [11, 85]
D [11, 86]
D [11, 87]
D [11, 88]
D [11, 89]
D [11, 90]
D [11, 91]
D [11, 92]
D [11, 93]
D [11, 94]
D [11, 95]
D [11, 96]
D [11, 97]
B [12, 97]
E [12, 96]
E [12, 95]
E [12, 94]
E [12, 93]
E [12, 92]
E [12, 91]
E [12, 90]
E [12, 89]
E [12, 88]
E [12, 87]
E [12, 86]
E [12, 85]
E [12, 84]
E [12, 83]
E [12, 82]
E [12, 81]
E [12, 80]
E [12, 79]
E [12, 78]
E [12, 77]
E [12, 76]
E [12, 75]
E [12, 74]
E [12, 73]
E [12, 72]
E [12, 71]
E [12, 70]
E [12, 69]
E [12, 68]
E [12, 67]
E [12, 66]
E [12, 65]
E [12, 64]
E [12, 63]
E [12, 62]
E [12, 61]
E [12, 60]
E [12, 59]
E [12, 58]
E [12, 57]
E [12, 56]
E [12, 55]
E [12, 54]
E [12, 53]
E [12, 52]
E [12, 51]
E [12, 50]
E [12, 49]
E [12, 48]
E [12, 47]
E [12, 46]
E [12, 45]
E [12, 44]
E [12, 43]
E [12, 42]
E [12, 41]
E [12, 40]
E [12, 39]
E [12, 38]
E [12, 37]
E [12, 36]
E [12, 35]
E [12, 34]
E [12, 33]
E [12, 32]
E [12, 31]
E [12, 30]
E [12, 29]
E [12, 28]
E [12, 27]
E [12, 26]
E [12, 25]
E [12, 24]
E [12, 23]
E [12, 22]
E [12, 21]
E [12, 20]
E [12, 19]
E [12, 18]
E [12, 17]
E [12, 16]
E [12, 15]
E [12, 14]
E [12, 13]
E [12, 12]
E [12, 11]
E [12, 10]
E [12, 9]
E [12, 8]
E [12, 7]
E [12, 6]
E [12, 5]
E [12, 4]
E [12, 3]
E [12, 2]
B [13, 2]
D [13, 3]
D [13, 4]
D [13, 5]
D [13, 6]
D [13, 7]
D [13, 8]
D [13, 9]
D [13, 10]
D [13, 11]
D [13, 12]
D [13, 13]
D [13, 14]
D [13, 15]
D [13, 16]
D [13, 17]
D [13, 18]
D [13, 19]
D [13, 20]
D [13, 21]
D [13, 22]
D [13, 23]
D [13, 24]
D [13, 25]
D [13, 26]
D [13, 27]
D [13, 28]
D [13, 29]
D [13, 30]
D [13, 31]
D [13, 32]
D [13, 33]
D [13, 34]
D [13, 35]
D [13, 36]
D [13, 37]
D [13, 38]
D [13, 39]
D [13, 40]
D [13, 41]
D [13, 42]
D [13, 43]
D [13, 44]
D [13, 45]
D [13, 46]
D [13, 47]
D [13, 48]
D [13, 49]
D [13, 50]
D [13, 51]
D [13, 52]
D [13, 53]
D [13, 54]
D [13, 55]
D [13, 56]
D [13, 57]
D [13, 58]
D [13, 59]
D [13, 60]
D [13, 61]
D [13, 62]
D [13, 63]
D [13, 64]
D [13, 65]
D [13, 66]
D [13, 67]
D [13, 68]
D [13, 69]
D [13, 70]
D [13, 71]
D [13, 72]
D [13, 73]
D [13, 74]
D [13, 75]
D [13, 76]
D [13, 77]
D [13, 78]
D [13, 79]
D [13, 80]
D [13, 81]
D [13, 82]
D [13, 83]
D [13, 84]
D [13, 85]
D [13, 86]
D [13, 87]
D [13, 88]
D [13, 89]
D [13, 90]
D [13, 91]
D [13, 92]
D [13, 93]
D [13, 94]
D [13, 95]
D [13, 96]
D [13, 97]
B [14, 97]
E [14, 96]
E [14, 95]
E [14, 94]
E [14, 93]
E [14, 92]
E [14, 91]
E [14, 90]
E [14, 89]
E [14, 88]
E [14, 87]
E [14, 86]
E [14, 85]
E [14, 84]
E [14, 83]
E [14, 82]
E [14, 81]
E [14, 80]
E [14, 79]
E [14, 78]
E [14, 77]
E [14, 76]
E [14, 75]
E [14, 74]
E [14, 73]
E [14, 72]
E [14, 71]
E [14, 70]
E [14, 69]
E [14, 68]
E [14, 67]
E [14, 66]
E [14, 65]
E [14, 64]
E [14, 63]
E [14, 62]
E [14, 61]
E [14, 60]
E [14, 59]
E [14, 58]
E [14, 57]
E [14, 56]
E [14, 55]
E [14, 54]
E [14, 53]
E [14, 52]
E [14, 51]
E [14, 50]
E [14, 49]
E [14, 48]
E [14, 47]
E [14, 46]
E [14, 45]
E [14, 44]
E [14, 43]
E [14, 42]
E [14, 41]
E [14, 40]
E [14, 39]
E [14, 38]
E [14, 37]
E [14, 36]
E [14, 35]
E [14, 34]
E [14, 33]
E [14, 32]
E [14, 31]
E [14, 30]
E [14, 29]
E [14, 28]
E [14, 27]
E [14, 26]
E [14, 25]
E [14, 24]
E [14, 23]
E [14, 22]
E [14, 21]
E [14, 20]
E [14, 19]
E [14, 18]
E [14, 17]
E [14, 16]
E [14, 15]
E [14, 14]
E [14, 13]
E [14, 12]
E [14, 11]
E [14, 10]
E [14, 9]
E [14, 8]
E [14, 7]
E [14, 6]
E [14, 5]
E [14, 4]
E [14, 3]
E [14, 2]
B [15, 2]
D [15, 3]
D [15, 4]
D [15, 5]
D [15, 6]
D [15, 7]
D [15, 8]
D [15, 9]
D [15, 10]
D [15, 11]
D [15, 12]
D [15, 13]
D [15, 14]
D [15, 15]
D [15, 16]
D [15, 17]
D [15, 18]
D [15, 19]
D [15, 20]
D [15, 21]
D [15, 22]
D [15, 23]
D [15, 24]
D [15, 25]
D [15, 26]
D [15, 27]
D [15, 28]
D [15, 29]
D [15, 30]
D [15, 31]
D [15, 32]
D [15, 33]
D [15, 34]
D [15, 35]
D [15, 36]
D [15, 37]
D [15, 38]
D [15, 39]
D [15, 40]
D [15, 41]
D [15, 42]
D [15, 43]
D [15, 44]
D [15, 45]
D [15, 46]
D [15, 47]
D [15, 48]
D [15, 49]
D [15, 50]
D [15, 51]
D [15, 52]
D [15, 53]
D [15, 54]
D [15, 55]
D [15, 56]
D [15, 57]
D [15, 58]
D [15, 59]
D [15, 60]
D [15, 61]
D [15, 62]
D [15, 63]
D [15, 64]
D [15, 65]
D [15, 66]
D [15, 67]
D [15, 68]
D [15, 69]
D [15, 70]
D [15, 71]
D [15, 72]
D [15, 73]
D [15, 74]
D [15, 75]
D [15, 76]
D [15, 77]
D [15, 78]
D [15, 79]
D [15, 80]
D [15, 81]
D [15, 82]
D [15, 83]
D [15, 84]
D [15, 85]
D [15, 86]
D [15, 87]
D [15, 88]
D [15, 89]
D [15, 90]
D [15, 91]
D [15, 92]
D [15, 93]
D [15, 94]
D [15, 95]
D [15, 96]
D [15, 97]
B [16, 97]
E [16, 96]
E [16, 95]
E [16, 94]
E [16, 93]
E [16, 92]
E [16, 91]
E [16, 90]
E [16, 89]
E [16, 88]
E [16, 87]
E [16, 86]
E [16, 85]
E [16, 84]
E [16, 83]
E [16, 82]
E [16, 81]
E [16, 80]
E [16, 79]
E [16, 78]
E [16, 77]
E [16, 76]
E [16, 75]
E [16, 74]
E [16, 73]
E [16, 72]
E [16, 71]
E [16, 70]
E [16, 69]
E [16, 68]
E [16, 67]
E [16, 66]
E [16, 65]
E [16, 64]
E [16, 63]
E [16, 62]
E [16, 61]
E [16, 60]
E [16, 59]
E [16, 58]
E [16, 57]
E [16, 56]
E [16, 55]
E [16, 54]
E [16, 53]
E [16, 52]
E [16, 51]
E [16, 50]
E [16, 49]
E [16, 48]
E [16, 47]
E [16, 46]
E [16, 45]
E [16, 44]
E [16, 43]
E [16, 42]
E [16, 41]
E [16, 40]
E [16, 39]
E [16, 38]
E [16, 37]
E [16, 36]
E [16, 35]
E [16, 34]
E [16, 33]
E [16, 32]
E [16, 31]
E [16, 30]
E [16, 29]
E [16, 28]
E [16, 27]
E [16, 26]
E [16, 25]
E [16, 24]
E [16, 23]
E [16, 22]
E [16, 21]
E [16, 20]
E [16, 19]
E [16, 18]
E [16, 17]
E [16, 16]
E [16, 15]
E [16, 14]
E [16, 13]
E [16, 12]
E [16, 11]
E [16, 10]
E [16, 9]
E [16, 8]
E [16, 7]
E [16, 6]
E [16, 5]
E [16, 4]
E [16, 3]
E [16, 2]
B [17, 2]
D [17, 3]
D [17, 4]
D [17, 5]
D [17, 6]
D [17, 7]
D [17, 8]
D [17, 9]
D [17, 10]
D [17, 11]
D [17, 12]
D [17, 13]
D [17, 14]
D [17, 15]
D [17, 16]
D [17, 17]
D [17, 18]
D [17, 19]
D [17, 20]
D [17, 21]
D [17, 22]
D [17, 23]
D [17, 24]
D [17, 25]
D [17, 26]
D [17, 27]
D [17, 28]
D [17, 29]
D [17, 30]
D [17, 31]
D [17, 32]
D [17, 33]
D [17, 34]
D [17, 35]
D [17, 36]
D [17, 37]
D [17, 38]
D [17, 39]
D [17, 40]
D [17, 41]
D [17, 42]
D [17, 43]
D [17, 44]
D [17, 45]
D [17, 46]
D [17, 47]
D [17, 48]
D [17, 49]
D [17, 50]
D [17, 51]
D [17, 52]
D [17, 53]
D [17, 54]
D [17, 55]
D [17, 56]
D [17, 57]
D [17, 58]
D [17, 59]
D [17, 60]
D [17, 61]
D [17, 62]
D [17, 63]
D [17, 64]
D [17, 65]
D [17, 66]
D [17, 67]
D [17, 68]
D [17, 69]
D [17, 70]
D [17, 71]
D [17, 72]
D [17, 73]
D [17, 74]
D [17, 75]
D [17, 76]
D [17, 77]
D [17, 78]
D [17, 79]
D [17, 80]
D [17, 81]
D [17, 82]
D [17, 83]
D [17, 84]
D [17, 85]
D [17, 86]
D [17, 87]
D [17, 88]
D [17, 89]
D [17, 90]
D [17, 91]
D [17, 92]
D [17, 93]
D [17, 94]
D [17, 95]
D [17, 96]
D [17, 97]
B [18, 97]
E [18, 96]
E [18, 95]
E [18, 94]
E [18, 93]
E [18, 92]
E [18, 91]
E [18, 90]
E [18, 89]
E [18, 88]
E [18, 87]
E [18, 86]
E [18, 85]
E [18, 84]
E [18, 83]
E [18, 82]
E [18, 81]
E [18, 80]
E [18, 79]
E [18, 78]
E [18, 77]
E [18, 76]
E [18, 75]
E [18, 74]
E [18, 73]
E [18, 72]
E [18, 71]
E [18, 70]
E [18, 69]
E [18, 68]
E [18, 67]
E [18, 66]
E [18, 65]
E [18, 64]
E [18, 63]
E [18, 62]
E [18, 61]
E [18, 60]
E [18, 59]
E [18, 58]
E [18, 57]
E [18, 56]
E [18, 55]
E [18, 54]
E [18, 53]
E [18, 52]
E [18, 51]
E [18, 50]
E [18, 49]
E [18, 48]
E [18, 47]
E [18, 46]
E [18, 45]
E [18, 44]
E [18, 43]
E [18, 42]
E [18, 41]
E [18, 40]
E [18, 39]
E [18, 38]
E [18, 37]
E [18, 36]
E [18, 35]
E [18, 34]
E [18, 33]
E [18, 32]
E [18, 31]
E [18, 30]
E [18, 29]
E [18, 28]
E [18, 27]
E [18, 26]
E [18, 25]
E [18, 24]
E [18, 23]
E [18, 22]
E [18, 21]
E [18, 20]
E [18, 19]
E [18, 18]
E [18, 17]
E [18, 16]
E [18, 15]
E [18, 14]
E [18, 13]
E [18, 12]
E [18, 11]
E [18, 10]
E [18, 9]
E [18, 8]
E [18, 7]
E [18, 6]
E [18, 5]
E [18, 4]
E [18, 3]
E [18, 2]
B [19, 2]
D [19, 3]
D [19, 4]
D [19, 5]
D [19, 6]
D [19, 7]
D [19, 8]
D [19, 9]
D [19, 10]
D [19, 11]
D [19, 12]
D [19, 13]
D [19, 14]
D [19, 15]
D [19, 16]
D [19, 17]
D [19, 18]
D [19, 19]
D [19, 20]
